Year,ZipCode,Gender,Count
2012,92823,Male,10
2012,92823,Female,6
2012,92831,Male,75
2012,92831,Female,88
2012,92832,Male,79
2012,92832,Female,65
2012,92833,Male,149
2012,92833,Female,125
2012,92835,Male,132
2012,92835,Female,138
2012,92840,Male,153
2012,92840,Female,140
2012,92841,Male,118
2012,92841,Female,110
2012,92843,Male,120
2012,92843,Female,102
2012,92844,Male,51
2012,92844,Female,50
2012,92845,Male,62
2012,92845,Female,86
2012,92860,Male,83
2012,92860,Female,74
2012,92861,Male,27
2012,92861,Female,28
2012,92865,Male,53
2012,92865,Female,56
2012,92866,Male,56
2012,92866,Female,61
2012,92867,Male,137
2012,92867,Female,126
2012,92868,Male,62
2012,92868,Female,75
2012,92869,Male,102
2012,92869,Female,119
2012,92870,Male,168
2012,92870,Female,164
2012,92879,Male,127
2012,92879,Female,120
2012,92880,Male,105
2012,92880,Female,94
2012,92881,Male,68
2012,92881,Female,73
2012,92882,Male,150
2012,92882,Female,167
2012,92883,Male,68
2012,92883,Female,52
2012,92886,Male,127
2012,92886,Female,149
2012,92887,Male,38
2012,92887,Female,42
2012,93001,Male,132
2012,93001,Female,110
2012,93003,Male,226
2012,93003,Female,260
2012,93004,Male,107
2012,93004,Female,115
2012,93010,Male,196
2012,93010,Female,169
2012,93012,Male,147
2012,93012,Female,157
2012,93013,Male,73
2012,93013,Female,61
2012,93015,Male,49
2012,93015,Female,45
2012,93021,Male,68
2012,93021,Female,81
2012,93022,Male,26
2012,93022,Female,20
2012,93023,Male,86
2012,93023,Female,112
2012,93030,Male,146
2012,93030,Female,151
2012,93033,Male,175
2012,93033,Female,140
2012,93035,Male,78
2012,93035,Female,63
2012,93036,Male,92
2012,93036,Female,82
2012,93040,Male,4
2012,93040,Female,4
2012,93041,Male,68
